cuentaId;nombre;saldo;edad;tipo
143;Charlie Green;10000.0;35;-1
137;Bob Johnson;5000.0;40;-1
124;John Doe;7000.0;;hipoteca
131;Diana Prince;5000.0;45;hipoteca
128;Diana Prince;;35;hipoteca
133;Alice Brown;;;hipoteca
121;Bob Johnson;8000.0;35;hipoteca
143;Diana Prince;;35;unknown
116;Diana Prince;;30;hipoteca
105;Unknown;10000.0;45;prestamo
107;Alice Brown;10000.0;;hipoteca
101;Alice Brown;8000.0;25;hipoteca
111;John Doe;;;ahorro
121;Steve Rogers;12000.0;30;-1
116;Bob Johnson;;45;-1
101;John Doe;8000.0;30;hipoteca
133;John Doe;;25;ahorro
127;Diana Prince;7000.0;40;-1
137;Jane Smith;10000.0;45;hipoteca
115;Jane Smith;12000.0;45;-1
109;Diana Prince;;;hipoteca
122;Charlie Green;10000.0;45;hipoteca
135;John Doe;10000.0;;-1
110;Steve Rogers;;;hipoteca
132;Bob Johnson;10000.0;100;-1
104;Jane Smith;8000.0;;-1
120;Steve Rogers;;30;prestamo
124;Steve Rogers;;45;-1
132;Diana Prince;8000.0;45;hipoteca
131;Jane Smith;10000.0;40;-1
123;Alice Brown;12000.0;35;hipoteca
134;John Doe;8000.0;40;-1
114;Steve Rogers;;45;unknown
111;Bob Johnson;;;prestamo
133;John Doe;10000.0;35;-1
147;Charlie Green;10000.0;150;hipoteca
145;Bob Johnson;12000.0;35;hipoteca
104;Diana Prince;;30;ahorro
115;Diana Prince;;;hipoteca
144;Bob Johnson;12000.0;35;-1
101;Charlie Green;12000.0;35;hipoteca
134;Charlie Green;12000.0;30;-1
121;Bob Johnson;7000.0;30;hipoteca
117;Alice Brown;5000.0;25;-1
131;Charlie Green;10000.0;;-1
115;Bob Johnson;8000.0;45;hipoteca
109;Jane Smith;5000.0;100;hipoteca
126;Alice Brown;8000.0;30;-1
114;Diana Prince;;;prestamo
139;Steve Rogers;;;ahorro
149;Bob Johnson;12000.0;45;-1
119;Steve Rogers;5000.0;;hipoteca
104;Steve Rogers;;45;-1
110;Steve Rogers;10000.0;25;hipoteca
116;John Doe;12000.0;;unknown
133;Steve Rogers;;150;ahorro
135;Bob Johnson;7000.0;40;-1
142;Jane Smith;8000.0;40;unknown
134;Bob Johnson;10000.0;30;hipoteca
134;Alice Brown;;45;-1
143;Alice Brown;;35;prestamo
104;Steve Rogers;;40;-1
141;Jane Smith;;40;prestamo
106;Alice Brown;5000.0;45;-1
149;Charlie Green;12000.0;25;-1
112;Diana Prince;10000.0;;-1
142;Bob Johnson;;100;hipoteca
106;Unknown;8000.0;25;hipoteca
131;Steve Rogers;;30;-1
102;John Doe;12000.0;;-1
137;Alice Brown;;25;-1
143;Unknown;7000.0;;ahorro
124;Jane Smith;12000.0;45;-1
110;Alice Brown;5000.0;25;hipoteca
118;John Doe;12000.0;;hipoteca
142;Jane Smith;8000.0;100;hipoteca
114;Diana Prince;5000.0;25;-1
104;Jane Smith;;25;unknown
130;Steve Rogers;;35;-1
139;Alice Brown;12000.0;35;unknown
150;Bob Johnson;10000.0;35;hipoteca
120;Jane Smith;;40;ahorro
119;Unknown;5000.0;;ahorro
128;Alice Brown;5000.0;40;-1
125;John Doe;;40;ahorro
108;Alice Brown;8000.0;35;hipoteca
140;Diana Prince;7000.0;150;-1
150;Steve Rogers;7000.0;30;hipoteca
138;Unknown;8000.0;;prestamo
113;Diana Prince;8000.0;40;-1
115;Bob Johnson;8000.0;45;hipoteca
139;Jane Smith;;30;-1
147;John Doe;8000.0;40;unknown
109;John Doe;;30;ahorro
106;Bob Johnson;7000.0;100;-1
140;Bob Johnson;;150;ahorro
137;Diana Prince;8000.0;;-1
107;Jane Smith;;;hipoteca
117;John Doe;;100;ahorro
118;John Doe;;100;hipoteca
135;Unknown;10000.0;45;ahorro
107;Diana Prince;10000.0;;-1
105;Alice Brown;5000.0;45;-1
120;Jane Smith;7000.0;45;hipoteca
137;Steve Rogers;7000.0;35;-1
142;Bob Johnson;8000.0;35;-1
136;Alice Brown;;45;-1
104;Diana Prince;8000.0;30;-1
138;Charlie Green;7000.0;;hipoteca
123;Bob Johnson;12000.0;40;hipoteca
109;Diana Prince;;30;ahorro
116;Diana Prince;5000.0;45;-1
119;John Doe;8000.0;100;hipoteca
127;Alice Brown;;;-1
116;John Doe;10000.0;;-1
