cuentaId;nombre;saldo;edad;tipo
131;Charlie Green;;25;ahorro
111;Alice Brown;8000.0;;-1
121;Charlie Green;;45;prestamo
116;John Doe;7000.0;30;hipoteca
147;Diana Prince;8000.0;45;hipoteca
106;John Doe;5000.0;25;-1
114;Diana Prince;12000.0;40;hipoteca
102;Diana Prince;12000.0;30;hipoteca
108;Diana Prince;5000.0;25;unknown
120;Steve Rogers;5000.0;40;hipoteca
107;Steve Rogers;5000.0;25;hipoteca
107;Diana Prince;8000.0;25;hipoteca
113;Steve Rogers;8000.0;25;-1
101;Bob Johnson;;100;prestamo
138;Charlie Green;12000.0;;hipoteca
146;Steve Rogers;10000.0;;-1
109;Bob Johnson;10000.0;;-1
135;Jane Smith;12000.0;30;unknown
142;Bob Johnson;;100;prestamo
102;Steve Rogers;7000.0;40;-1
110;Unknown;10000.0;;-1
114;Unknown;8000.0;35;ahorro
145;Diana Prince;8000.0;100;-1
108;Diana Prince;7000.0;30;-1
111;Charlie Green;10000.0;100;hipoteca
136;Alice Brown;8000.0;35;hipoteca
147;Bob Johnson;5000.0;;-1
116;Steve Rogers;10000.0;100;hipoteca
111;Jane Smith;;;prestamo
143;Jane Smith;10000.0;40;-1
123;Diana Prince;;25;ahorro
127;Steve Rogers;12000.0;25;-1
137;Diana Prince;10000.0;;hipoteca
121;John Doe;7000.0;25;-1
106;Steve Rogers;;35;ahorro
146;Diana Prince;10000.0;30;-1
105;John Doe;;30;-1
142;Alice Brown;8000.0;25;-1
114;Jane Smith;;150;hipoteca
126;Diana Prince;5000.0;45;-1
113;Diana Prince;5000.0;25;-1
118;Steve Rogers;;45;ahorro
119;Jane Smith;;35;prestamo
138;Steve Rogers;5000.0;;hipoteca
135;Alice Brown;;45;prestamo
112;Steve Rogers;;40;prestamo
115;John Doe;8000.0;100;-1
131;Bob Johnson;10000.0;150;-1
122;John Doe;12000.0;100;hipoteca
126;John Doe;10000.0;;-1
139;Alice Brown;7000.0;35;unknown
136;Bob Johnson;;;hipoteca
136;Steve Rogers;;40;-1
101;Jane Smith;10000.0;30;hipoteca
147;Steve Rogers;12000.0;;-1
143;Jane Smith;10000.0;25;-1
111;John Doe;12000.0;100;-1
121;Alice Brown;8000.0;30;-1
107;John Doe;;45;-1
125;Alice Brown;;30;prestamo
116;Diana Prince;10000.0;25;-1
146;Unknown;12000.0;25;hipoteca
122;Jane Smith;;35;hipoteca
101;Jane Smith;12000.0;40;-1
121;Bob Johnson;;100;prestamo
115;Alice Brown;8000.0;40;hipoteca
114;Diana Prince;8000.0;30;-1
141;Steve Rogers;;40;-1
129;Steve Rogers;7000.0;30;-1
108;Jane Smith;8000.0;25;-1
150;Bob Johnson;8000.0;25;hipoteca
113;Jane Smith;8000.0;45;hipoteca
101;Bob Johnson;12000.0;30;hipoteca
105;Alice Brown;8000.0;35;-1
127;Charlie Green;8000.0;100;hipoteca
149;Bob Johnson;10000.0;25;-1
134;Diana Prince;;45;hipoteca
115;Bob Johnson;;30;prestamo
135;John Doe;10000.0;100;hipoteca
113;Jane Smith;8000.0;35;-1
108;Jane Smith;;35;ahorro
130;Steve Rogers;12000.0;45;hipoteca
132;Unknown;5000.0;;-1
130;John Doe;12000.0;30;unknown
104;Bob Johnson;;;prestamo
102;Alice Brown;12000.0;30;-1
123;Charlie Green;;;prestamo
104;Steve Rogers;5000.0;25;hipoteca
107;Diana Prince;5000.0;45;unknown
113;Alice Brown;8000.0;35;hipoteca
117;Alice Brown;;45;hipoteca
129;Jane Smith;;30;-1
133;John Doe;7000.0;150;-1
113;Jane Smith;;25;prestamo
104;Alice Brown;7000.0;45;hipoteca
123;Alice Brown;;25;hipoteca
109;Alice Brown;12000.0;40;hipoteca
146;Charlie Green;12000.0;100;hipoteca
127;Diana Prince;8000.0;35;-1
126;Charlie Green;7000.0;100;hipoteca
135;Alice Brown;7000.0;;-1
111;John Doe;10000.0;35;hipoteca
119;John Doe;10000.0;100;-1
129;Unknown;7000.0;35;-1
116;Alice Brown;10000.0;30;-1
139;Charlie Green;;25;-1
114;Steve Rogers;;100;prestamo
134;Bob Johnson;10000.0;35;hipoteca
