cuentaId;nombre;saldo;edad;tipo
113;Unknown;;40;-1
140;John Doe;;30;hipoteca
110;Alice Brown;7000.0;;-1
115;Diana Prince;;40;-1
138;Charlie Green;5000.0;;-1
150;Diana Prince;8000.0;35;-1
101;Steve Rogers;5000.0;35;-1
105;Alice Brown;;25;prestamo
150;Steve Rogers;;25;hipoteca
137;Charlie Green;7000.0;150;hipoteca
124;John Doe;;35;prestamo
132;John Doe;;40;-1
113;Alice Brown;;;-1
119;Steve Rogers;;35;-1
113;Charlie Green;7000.0;;unknown
146;Charlie Green;8000.0;25;unknown
121;Alice Brown;5000.0;25;hipoteca
118;Jane Smith;5000.0;25;-1
120;John Doe;;;-1
114;Jane Smith;12000.0;100;unknown
139;Charlie Green;12000.0;45;-1
132;Alice Brown;12000.0;100;hipoteca
108;Alice Brown;5000.0;25;hipoteca
107;John Doe;8000.0;35;hipoteca
107;Bob Johnson;8000.0;45;-1
118;Charlie Green;5000.0;100;hipoteca
149;Steve Rogers;;150;prestamo
128;Diana Prince;7000.0;;hipoteca
102;Diana Prince;5000.0;35;hipoteca
127;Charlie Green;7000.0;30;-1
120;Jane Smith;5000.0;150;-1
146;John Doe;;45;unknown
112;Jane Smith;;100;-1
129;Steve Rogers;7000.0;150;-1
136;Bob Johnson;10000.0;;hipoteca
105;Jane Smith;10000.0;25;-1
112;Bob Johnson;;25;ahorro
111;Steve Rogers;10000.0;;-1
149;Unknown;8000.0;40;ahorro
109;John Doe;8000.0;25;hipoteca
147;John Doe;;30;ahorro
144;Alice Brown;8000.0;30;hipoteca
120;Bob Johnson;5000.0;45;-1
133;John Doe;10000.0;;hipoteca
114;Steve Rogers;10000.0;100;-1
132;Diana Prince;7000.0;;-1
147;Unknown;5000.0;45;-1
104;Steve Rogers;;;hipoteca
108;Alice Brown;;100;prestamo
126;Unknown;12000.0;25;-1
110;John Doe;8000.0;25;-1
116;Steve Rogers;7000.0;150;hipoteca
107;John Doe;7000.0;25;-1
115;Bob Johnson;10000.0;45;hipoteca
134;Diana Prince;10000.0;40;-1
145;John Doe;5000.0;35;hipoteca
103;John Doe;;45;hipoteca
117;Alice Brown;10000.0;100;unknown
106;Diana Prince;8000.0;25;-1
128;Jane Smith;8000.0;30;-1
103;Jane Smith;7000.0;25;unknown
109;Alice Brown;;150;hipoteca
129;Diana Prince;;30;hipoteca
130;John Doe;;40;ahorro
120;Jane Smith;;25;prestamo
102;Jane Smith;;150;hipoteca
145;Alice Brown;;100;hipoteca
122;Alice Brown;10000.0;45;hipoteca
137;Jane Smith;8000.0;;-1
130;Alice Brown;;25;-1
116;Alice Brown;12000.0;40;unknown
133;Alice Brown;5000.0;35;hipoteca
126;Bob Johnson;;;ahorro
129;Jane Smith;10000.0;;-1
138;Unknown;10000.0;30;-1
148;Unknown;5000.0;100;ahorro
124;Steve Rogers;7000.0;;hipoteca
110;Alice Brown;7000.0;;-1
139;Jane Smith;;100;-1
142;Steve Rogers;7000.0;30;-1
113;John Doe;;30;prestamo
107;Alice Brown;10000.0;40;-1
113;Alice Brown;7000.0;150;-1
114;Bob Johnson;7000.0;;-1
102;Bob Johnson;5000.0;150;hipoteca
143;Charlie Green;;45;-1
103;Jane Smith;10000.0;100;-1
107;Alice Brown;7000.0;;hipoteca
107;Bob Johnson;;35;hipoteca
142;Steve Rogers;;25;ahorro
144;Bob Johnson;10000.0;;unknown
114;Steve Rogers;10000.0;;unknown
150;Diana Prince;10000.0;25;-1
125;John Doe;;25;-1
150;Jane Smith;8000.0;150;hipoteca
123;John Doe;5000.0;35;unknown
138;Bob Johnson;10000.0;30;-1
113;Steve Rogers;7000.0;45;hipoteca
103;Diana Prince;10000.0;100;-1
145;Steve Rogers;;100;-1
138;John Doe;10000.0;25;unknown
117;Diana Prince;12000.0;;hipoteca
131;Bob Johnson;10000.0;;-1
132;Unknown;12000.0;;prestamo
146;Bob Johnson;;30;-1
112;Jane Smith;5000.0;40;unknown
119;Steve Rogers;5000.0;45;unknown
137;Alice Brown;8000.0;;-1
127;Charlie Green;7000.0;30;unknown
109;Unknown;;25;-1
118;John Doe;;40;hipoteca
121;John Doe;;25;ahorro
131;Bob Johnson;7000.0;35;-1
111;Steve Rogers;;;hipoteca
114;Diana Prince;;;ahorro
139;Charlie Green;5000.0;35;unknown
108;Alice Brown;5000.0;30;unknown
110;Bob Johnson;7000.0;35;hipoteca
